"TIME","GEO","SEX","WORKTIME","WSTATUS","NACE_R2","UNIT","Value","Flag and Footnotes"
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Total - all NACE activities","Hour","37.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","41.8",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Mining and quarrying","Hour","41.6",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Manufacturing","Hour","39.6",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","39.5",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.2",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Construction","Hour","41.4",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","37.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Transportation and storage","Hour","40.3",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Accommodation and food service activities","Hour","37.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Information and communication","Hour","38.9",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Financial and insurance activities","Hour","38.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Real estate activities","Hour","36.8",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","38.8",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Administrative and support service activities","Hour","34.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","37.6",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Education","Hour","32.8",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Human health and social work activities","Hour","34.4",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","33.7",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Other service activities","Hour","35.2",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","27.0",""
"2009","European Union - 28 countries (2013-2020)","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","39.7",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.9",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","44.9",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Mining and quarrying","Hour","42.1",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Manufacturing","Hour","40.7",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","40.2",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Construction","Hour","42.2",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","41.4",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Transportation and storage","Hour","41.9",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Accommodation and food service activities","Hour","41.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Information and communication","Hour","40.6",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Financial and insurance activities","Hour","41.7",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Real estate activities","Hour","39.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","41.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Administrative and support service activities","Hour","39.3",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.4",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Education","Hour","35.4",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Human health and social work activities","Hour","38.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","36.5",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Other service activities","Hour","40.0",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","34.8",""
"2009","European Union - 28 countries (2013-2020)","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","41.8",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Total - all NACE activities","Hour","33.9",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","36.6",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Mining and quarrying","Hour","38.4",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Manufacturing","Hour","37.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","37.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","36.3",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Construction","Hour","33.2",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","34.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Transportation and storage","Hour","35.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Accommodation and food service activities","Hour","34.4",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Information and communication","Hour","35.4",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Financial and insurance activities","Hour","35.9",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Real estate activities","Hour","34.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","35.3",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Administrative and support service activities","Hour","30.0",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","35.5",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Education","Hour","31.7",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Human health and social work activities","Hour","33.1",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","30.9",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Other service activities","Hour","32.6",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","26.1",""
"2009","European Union - 28 countries (2013-2020)","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","37.0",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Total - all NACE activities","Hour","35.7",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","42.7",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Mining and quarrying","Hour","39.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Manufacturing","Hour","37.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","38.6",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","38.5",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Construction","Hour","39.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","34.2",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Transportation and storage","Hour","38.4",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Accommodation and food service activities","Hour","33.5",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Information and communication","Hour","36.1",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Financial and insurance activities","Hour","37.7",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Real estate activities","Hour","34.3",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","37.3",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Administrative and support service activities","Hour","32.4",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","37.1",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Education","Hour","32.2",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Human health and social work activities","Hour","32.8",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","33.0",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Other service activities","Hour","31.9",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","15.2",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","37.9",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Total - all NACE activities","Hour","40.1",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","47.0",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Mining and quarrying","Hour","40.6",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Manufacturing","Hour","39.7",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","39.8",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.9",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Construction","Hour","41.4",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","40.4",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Transportation and storage","Hour","40.8",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Accommodation and food service activities","Hour","39.3",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Information and communication","Hour","39.0",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Financial and insurance activities","Hour","42.5",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Real estate activities","Hour","38.3",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","42.1",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Administrative and support service activities","Hour","38.2",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","40.1",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Education","Hour","36.5",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Human health and social work activities","Hour","39.1",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","36.8",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Other service activities","Hour","38.3",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","21.3",""
"2009","Germany (until 1990 former territory of the FRG)","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","40.0",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Total - all NACE activities","Hour","30.5",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","34.2",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Mining and quarrying","Hour","34.0",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Manufacturing","Hour","32.7",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","34.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","33.2",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Construction","Hour","28.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","28.7",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Transportation and storage","Hour","31.1",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Accommodation and food service activities","Hour","29.4",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Information and communication","Hour","30.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Financial and insurance activities","Hour","33.0",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Real estate activities","Hour","30.5",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","32.5",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Administrative and support service activities","Hour","26.3",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","33.7",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Education","Hour","30.2",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Human health and social work activities","Hour","30.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","29.1",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Other service activities","Hour","29.0",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","14.8",""
"2009","Germany (until 1990 former territory of the FRG)","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","35.3",""
"2009","Greece","Total","Total","Employed persons","Total - all NACE activities","Hour","42.4","b"
"2009","Greece","Total","Total","Employed persons","Agriculture, forestry and fishing","Hour","45.0","b"
"2009","Greece","Total","Total","Employed persons","Mining and quarrying","Hour","41.5","b"
"2009","Greece","Total","Total","Employed persons","Manufacturing","Hour","43.7","b"
"2009","Greece","Total","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","39.9","b"
"2009","Greece","Total","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","39.4","b"
"2009","Greece","Total","Total","Employed persons","Construction","Hour","43.3","b"
"2009","Greece","Total","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","45.2","b"
"2009","Greece","Total","Total","Employed persons","Transportation and storage","Hour","48.1","b"
"2009","Greece","Total","Total","Employed persons","Accommodation and food service activities","Hour","48.6","b"
"2009","Greece","Total","Total","Employed persons","Information and communication","Hour","41.1","b"
"2009","Greece","Total","Total","Employed persons","Financial and insurance activities","Hour","40.8","b"
"2009","Greece","Total","Total","Employed persons","Real estate activities","Hour","49.1","b"
"2009","Greece","Total","Total","Employed persons","Professional, scientific and technical activities","Hour","42.7","b"
"2009","Greece","Total","Total","Employed persons","Administrative and support service activities","Hour","41.7","b"
"2009","Greece","Total","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.3","b"
"2009","Greece","Total","Total","Employed persons","Education","Hour","27.2","b"
"2009","Greece","Total","Total","Employed persons","Human health and social work activities","Hour","39.7","b"
"2009","Greece","Total","Total","Employed persons","Arts, entertainment and recreation","Hour","39.5","b"
"2009","Greece","Total","Total","Employed persons","Other service activities","Hour","42.0","b"
"2009","Greece","Total","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","39.1","b"
"2009","Greece","Total","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour","35.4","bu"
"2009","Greece","Males","Total","Employed persons","Total - all NACE activities","Hour","44.5","b"
"2009","Greece","Males","Total","Employed persons","Agriculture, forestry and fishing","Hour","48.6","b"
"2009","Greece","Males","Total","Employed persons","Mining and quarrying","Hour","41.8","b"
"2009","Greece","Males","Total","Employed persons","Manufacturing","Hour","44.4","b"
"2009","Greece","Males","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","40.0","b"
"2009","Greece","Males","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","40.2","b"
"2009","Greece","Males","Total","Employed persons","Construction","Hour","43.3","b"
"2009","Greece","Males","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","47.1","b"
"2009","Greece","Males","Total","Employed persons","Transportation and storage","Hour","49.5","b"
"2009","Greece","Males","Total","Employed persons","Accommodation and food service activities","Hour","51.2","b"
"2009","Greece","Males","Total","Employed persons","Information and communication","Hour","41.6","b"
"2009","Greece","Males","Total","Employed persons","Financial and insurance activities","Hour","41.7","b"
"2009","Greece","Males","Total","Employed persons","Real estate activities","Hour","48.7","b"
"2009","Greece","Males","Total","Employed persons","Professional, scientific and technical activities","Hour","44.9","b"
"2009","Greece","Males","Total","Employed persons","Administrative and support service activities","Hour","44.1","b"
"2009","Greece","Males","Total","Employed persons","Public administration and defence; compulsory social security","Hour","39.8","b"
"2009","Greece","Males","Total","Employed persons","Education","Hour","28.2","b"
"2009","Greece","Males","Total","Employed persons","Human health and social work activities","Hour","40.6","b"
"2009","Greece","Males","Total","Employed persons","Arts, entertainment and recreation","Hour","41.6","b"
"2009","Greece","Males","Total","Employed persons","Other service activities","Hour","43.4","b"
"2009","Greece","Males","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","43.5","bu"
"2009","Greece","Males","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":","bu"
"2009","Greece","Females","Total","Employed persons","Total - all NACE activities","Hour","39.3","b"
"2009","Greece","Females","Total","Employed persons","Agriculture, forestry and fishing","Hour","39.8","b"
"2009","Greece","Females","Total","Employed persons","Mining and quarrying","Hour",":","bu"
"2009","Greece","Females","Total","Employed persons","Manufacturing","Hour","41.7","b"
"2009","Greece","Females","Total","Employed persons","Electricity, gas, steam and air conditioning supply","Hour","39.6","b"
"2009","Greece","Females","Total","Employed persons","Water supply; sewerage, waste management and remediation activities","Hour","35.7","b"
"2009","Greece","Females","Total","Employed persons","Construction","Hour","41.7","b"
"2009","Greece","Females","Total","Employed persons","Wholesale and retail trade; repair of motor vehicles and motorcycles","Hour","42.7","b"
"2009","Greece","Females","Total","Employed persons","Transportation and storage","Hour","40.2","b"
"2009","Greece","Females","Total","Employed persons","Accommodation and food service activities","Hour","45.6","b"
"2009","Greece","Females","Total","Employed persons","Information and communication","Hour","40.1","b"
"2009","Greece","Females","Total","Employed persons","Financial and insurance activities","Hour","40.0","b"
"2009","Greece","Females","Total","Employed persons","Real estate activities","Hour","49.7","bu"
"2009","Greece","Females","Total","Employed persons","Professional, scientific and technical activities","Hour","40.3","b"
"2009","Greece","Females","Total","Employed persons","Administrative and support service activities","Hour","39.4","b"
"2009","Greece","Females","Total","Employed persons","Public administration and defence; compulsory social security","Hour","38.4","b"
"2009","Greece","Females","Total","Employed persons","Education","Hour","26.6","b"
"2009","Greece","Females","Total","Employed persons","Human health and social work activities","Hour","39.3","b"
"2009","Greece","Females","Total","Employed persons","Arts, entertainment and recreation","Hour","36.2","b"
"2009","Greece","Females","Total","Employed persons","Other service activities","Hour","41.0","b"
"2009","Greece","Females","Total","Employed persons","Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use","Hour","38.9","b"
"2009","Greece","Females","Total","Employed persons","Activities of extraterritorial organisations and bodies","Hour",":","bu"
